,SUBJECT_11
training duration,1831.0997655391693
,train,valid,test
logloss,1.5726050450128515,1.5799622733637972,1.3450310138283568
accuracy,0.549097775912715,0.5405660377358491,0.5578635014836796
macro-precision,0.7223220475443032,0.6655847923661709,0.6066944423497475
macro-recall,0.4639836206490084,0.4954478044476021,0.5362887451440633
macro-f1,0.4655555232464419,0.4966088666790522,0.4952686202686203
weighted-f1,0.4902497431646692,0.47532083125738345,0.48336213736807215
micro-f1,0.549097775912715,0.5405660377358491,0.5578635014836796
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.4504414459436948,0.7748878923766815,0.6391251518833536,0.19554030874785594,0.0,0.9681298857486471,0.1791044776119403,0.19354838709677416,0.41538461538461546,0.5242718446601942,0.5937499999999999,0.652482269503546
valid,0.4539877300613496,0.7519999999999999,0.6066838046272494,0.13829787234042554,0.0,0.9619565217391305,0.0,0.5,0.5333333333333333,0.5454545454545454,0.5925925925925927,0.875
test,0.5384615384615384,0.6666666666666666,0.5333333333333333,0.07142857142857142,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1352.0,2.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,318.0,864.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,173.0,0.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1084.0,0.0,312.0,171.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,1404.0,1.0,325.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,89.0,0.0,11.0,0.0,0.0,1610.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,20.0,9.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0
SIT_TO_STAND,15.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,11.0,3.0,13.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,39.0,0.0
LIE_TO_SIT,10.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,22.0
STAND_TO_LIE,19.0,4.0,13.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,76.0,0.0
LIE_TO_STAND,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,148.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,32.0,94.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,18.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,119.0,1.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,145.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,12.0,0.0,1.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
LIE_TO_SIT,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
STAND_TO_LIE,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0
LIE_TO_STAND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,10.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,10.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,30.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,39.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
LIE_TO_STAND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
,index,real_category,predicted_category
0,0,4,0
1,1,4,2
2,2,4,0
3,3,4,0
4,4,4,0
5,5,4,0
6,6,4,2
7,7,4,0
8,8,4,0
9,9,4,0
10,10,4,0
11,11,6,0
12,12,3,2
13,13,3,2
14,14,3,2
15,15,3,2
16,17,3,2
17,18,3,2
18,19,3,0
19,20,3,0
20,21,3,0
21,22,3,0
22,24,3,0
23,25,3,2
24,26,7,0
25,27,4,0
26,28,4,2
27,29,4,2
28,30,4,0
29,31,4,0
30,32,4,0
31,33,4,0
32,34,4,0
33,35,4,0
34,36,4,0
35,37,4,0
36,38,4,0
37,56,3,2
38,57,3,0
39,58,3,0
40,59,3,0
41,60,3,2
42,61,3,2
43,62,3,0
44,63,3,0
45,64,3,0
