,SUBJECT_8
training duration,1824.0299315452576
,train,valid,test
logloss,1.458056895735371,1.4494284723038064,1.2383671130164196
accuracy,0.46478578892371997,0.45958646616541354,0.5152542372881356
macro-precision,0.7397157306635563,0.552392240392497,0.4737240829346092
macro-recall,0.31186444082274284,0.3191831616754783,0.3755578895501873
macro-f1,0.3267983099970169,0.31966730078620137,0.36074584572707225
weighted-f1,0.42923365614694264,0.4192899730336216,0.47884068160260856
micro-f1,0.46478578892371997,0.45958646616541354,0.5152542372881356
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.37416149068322985,0.1514324693042292,0.6070430408049189,0.49367681498829036,0.0,0.9876325088339224,0.031746031746031744,0.06451612903225806,0.5443037974683544,0.22727272727272727,0.3221476510067115,0.11764705882352941
valid,0.37127071823204416,0.10126582278481014,0.6502463054187192,0.45414847161572053,0.0,0.9840425531914894,0.0,0.0,0.5263157894736842,0.6153846153846154,0.13333333333333333,0.0
test,0.4033613445378152,0.2553191489361702,0.6428571428571429,0.6666666666666666,0.0,1.0,0.0,missed_category,1.0,0.0,0.0,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,1239.0,111.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,689.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1052.0,0.0,1.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1701.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,36.0,0.0,0.0,0.0,0.0,1677.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,58.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,43.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,43.0,0.0,2.0,0.0
LIE_TO_SIT,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0
STAND_TO_LIE,70.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,24.0,0.0
LIE_TO_STAND,63.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,142.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,71.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,124.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,191.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,5.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
LIE_TO_SIT,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
STAND_TO_LIE,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
LIE_TO_STAND,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,48.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,35.0,6.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,20.0,0.0,18.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SITTING,22.0,0.0,0.0,23.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
STANDING,56.0,0.0,0.0,1.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,55.0,0.0,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,0,missed_category,2,0,0,0
LIE_TO_SIT,3,0,0,0,0,0,0,missed_category,0,0,0,0
STAND_TO_LIE,4,0,0,0,0,0,0,missed_category,0,0,0,0
LIE_TO_STAND,1,0,0,0,0,0,0,missed_category,0,0,0,0
,index,real_category,predicted_category
0,0,4,0
1,1,4,0
2,2,4,0
3,3,4,0
4,4,4,0
5,5,4,0
6,6,4,0
7,7,4,0
8,8,4,0
9,9,4,0
10,10,4,0
11,11,4,0
12,12,4,0
13,14,3,0
14,16,3,0
15,17,3,0
16,20,3,0
17,21,4,0
18,22,4,0
19,23,4,0
20,24,4,0
21,25,4,0
22,26,4,0
23,27,4,0
24,28,4,0
25,29,4,0
26,30,4,0
27,31,4,0
28,32,10,0
29,33,10,0
30,47,9,0
31,48,3,0
32,49,3,0
33,50,3,0
34,51,3,0
35,52,3,0
36,53,3,0
37,57,3,0
38,58,3,0
39,59,3,0
40,76,11,0
41,102,2,0
42,103,2,0
43,107,2,0
44,108,1,0
45,109,1,0
46,110,1,0
47,111,1,0
48,112,1,0
49,113,1,0
50,114,1,0
51,115,2,0
52,119,2,0
53,120,2,0
54,121,1,0
55,122,1,0
56,123,1,0
57,124,1,0
58,125,1,0
59,126,1,0
60,127,1,0
61,128,2,0
62,129,2,0
63,132,2,0
64,133,2,0
65,134,2,0
66,135,1,0
67,136,1,0
68,137,1,0
69,138,1,0
70,139,1,0
71,140,1,0
72,141,1,0
73,142,4,3
74,143,4,0
75,144,4,0
76,145,4,0
77,146,4,0
78,147,4,0
79,148,4,0
80,149,4,0
81,150,4,0
82,151,4,0
83,152,4,0
84,153,4,0
85,154,4,0
86,155,4,0
87,156,4,0
88,157,4,0
89,158,6,0
90,164,3,0
91,169,4,0
92,170,4,0
93,171,4,0
94,172,4,0
95,173,4,0
96,174,4,0
97,175,4,0
98,176,4,0
99,177,4,0
100,178,4,0
101,179,4,0
102,180,4,0
103,181,4,0
104,182,4,0
105,183,4,0
106,184,4,0
107,185,4,0
108,186,10,0
109,187,10,0
110,201,9,0
111,202,3,0
112,203,3,0
113,204,3,0
114,206,3,0
115,207,3,0
116,212,3,0
117,213,3,0
118,214,3,0
119,232,9,0
120,257,2,0
121,258,2,0
122,259,2,0
123,260,2,0
124,263,1,0
125,265,1,0
126,266,1,0
127,267,1,0
128,268,1,0
129,269,1,0
130,270,1,0
131,271,2,0
132,275,2,0
133,276,2,0
134,277,1,0
135,278,1,0
136,279,1,0
137,282,1,0
138,283,2,0
139,288,2,0
140,289,1,0
141,290,1,0
142,291,1,0
