,SUBJECT_14
training duration,2783.013985157013
,train,valid,test
logloss,0.2770320887527562,0.331478100885638,0.5274760516392702
accuracy,0.9325913481730366,0.9178470254957507,0.8121387283236994
macro-precision,0.9123654102077565,0.8785641024195598,0.8267357040187058
macro-recall,0.9277229490775573,0.8281696937987841,0.7711991903266906
macro-f1,0.9173812283631692,0.8323394725794434,0.7856107034801076
weighted-f1,0.9318162123578355,0.9166444756429091,0.811336800223167
micro-f1,0.9325913481730366,0.9178470254957507,0.8121387283236994
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.895808383233533,0.9962852897473997,0.993517017828201,0.9105263157894737,0.8369737258626148,0.9973753280839895,0.9310344827586206,0.9642857142857143,0.8571428571428572,0.9054054054054054,0.8148148148148148,0.9054054054054054
valid,0.8789473684210526,0.9966555183946488,1.0,0.8982035928143713,0.821529745042493,0.9868766404199475,0.6,0.8,0.8571428571428572,0.8,0.7333333333333334,0.6153846153846154
test,0.6050420168067226,0.8120300751879699,1.0,0.8478260869565216,0.7368421052631579,0.9896907216494846,0.6666666666666666,1.0,0.6666666666666665,0.6666666666666666,0.7692307692307692,0.6666666666666665
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,55.0,0.0,0.0,1384.0,111.0,0.0,3.0,0.0,0.0,1.0,18.0,1.0
STANDING,292.0,10.0,15.0,83.0,1322.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.0,3.0,0.0,4.0,2.0
STAND_TO_SIT,1.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,3.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,0.0,14.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,7.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,110.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,67.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,6.0,0.0,0.0,150.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
STANDING,36.0,1.0,0.0,9.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,1.0,0.0,2.0,0.0
STAND_TO_SIT,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,4.0,0.0,0.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,20.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
,index,real_category,predicted_category
0,0,4,0
1,1,4,0
2,2,4,0
3,3,4,0
4,6,4,0
5,9,4,0
6,17,6,1
7,18,6,1
8,42,4,0
9,45,4,0
10,46,4,0
11,50,10,8
12,80,8,10
13,92,11,5
14,94,11,9
15,97,0,1
16,102,0,1
17,105,0,1
18,106,0,1
19,111,0,1
20,117,0,1
21,176,4,0
22,177,4,0
23,178,4,0
24,210,4,0
25,211,4,0
26,212,4,0
27,214,4,0
28,215,4,0
29,218,4,0
30,219,4,0
31,222,4,0
32,225,10,8
33,237,9,11
34,238,3,0
35,239,3,0
36,240,3,0
37,241,3,0
38,242,3,4
39,243,3,4
40,244,3,4
41,245,3,4
42,246,3,4
43,247,3,4
44,248,3,4
45,249,3,4
46,250,3,4
47,251,3,4
48,269,0,1
49,270,0,1
50,273,0,1
51,275,0,1
52,276,0,1
53,277,0,1
54,278,0,1
55,279,0,1
56,285,0,1
57,286,0,1
58,287,0,1
59,288,0,1
60,289,0,1
61,290,0,1
62,292,0,1
63,293,0,1
64,296,0,1
