,SUBJECT_12
training duration,1790.8001606464386
,train,valid,test
logloss,1.5596807778069255,1.5313809460576016,1.6734033921185663
accuracy,0.5485834207764952,0.546742209631728,0.5029411764705882
macro-precision,0.7273653273072703,0.6900034974826169,0.5181604796619419
macro-recall,0.4559355909068045,0.4753735853616538,0.48109465413813246
macro-f1,0.46927392151387276,0.4963085038391562,0.434494119285141
weighted-f1,0.5010522274472586,0.49750284515578985,0.43887631419957046
micro-f1,0.5485834207764952,0.546742209631728,0.5029411764705882
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.4266258607498087,0.6319999999999999,0.760553387726144,0.2877155172413793,0.0,0.9856515373352854,0.1791044776119403,0.12903225806451613,0.52,0.5094339622641509,0.5779816513761469,0.6231884057971014
valid,0.42564802182810374,0.6311111111111111,0.7707006369426752,0.2463054187192118,0.0,0.9787234042553192,0.25,0.0,0.5333333333333333,0.7692307692307693,0.6363636363636364,0.7142857142857143
test,0.38596491228070173,0.31746031746031744,0.6890756302521008,0.25,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5714285714285715
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1394.0,2.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,589.0,632.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WALKING_DOWNSTAIRS,153.0,0.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1198.0,1.0,98.0,267.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1566.0,3.0,134.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,24.0,0.0,0.0,0.0,0.0,1683.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,29.0,1.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,0.0
SIT_TO_STAND,13.0,4.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,7.0,5.0,14.0,0.0,0.0,10.0,0.0,0.0,39.0,0.0,20.0,0.0
LIE_TO_SIT,22.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,20.0
STAND_TO_LIE,16.0,6.0,18.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,63.0,0.0
LIE_TO_STAND,19.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,43.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,156.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,64.0,71.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,15.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,135.0,2.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,176.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,6.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
LIE_TO_SIT,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
STAND_TO_LIE,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0
LIE_TO_STAND,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,44.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,35.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,5.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,41.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,52.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
LIE_TO_STAND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
,index,real_category,predicted_category
0,0,4,2
1,1,4,0
2,2,4,0
3,3,4,0
4,4,4,2
5,5,4,0
6,6,4,0
7,7,4,2
8,8,4,0
9,9,4,0
10,10,4,0
11,11,6,2
12,12,3,0
13,13,3,0
14,14,3,0
15,15,3,0
16,16,3,0
17,17,3,2
18,19,3,0
19,20,3,0
20,23,3,0
21,24,4,0
22,25,4,0
23,26,4,0
24,27,4,0
25,28,4,0
26,29,4,0
27,30,4,0
28,31,4,0
29,32,4,0
30,33,4,0
31,34,4,0
32,35,4,0
33,36,4,0
34,37,4,2
35,38,4,2
36,39,4,0
37,56,9,11
38,57,3,2
39,58,3,2
40,60,3,0
41,61,3,0
42,63,3,0
43,64,3,0
44,65,3,0
45,66,3,0
