,SUBJECT_23
training duration,1836.776905298233
,train,valid,test
logloss,1.5843795105385954,1.592616853949241,1.597359326420998
accuracy,0.5496151007065274,0.5360531309297912,0.5102040816326531
macro-precision,0.6036716761892332,0.5271432546432546,0.4932724391057724
macro-recall,0.48087895027046246,0.44826842147060303,0.410544446906195
macro-f1,0.44712460061867193,0.40050733248767467,0.382379460920866
weighted-f1,0.47668154524059136,0.46312838660736183,0.4594112371242363
micro-f1,0.5496151007065274,0.5360531309297912,0.5102040816326531
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.47987433732574125,0.7522935779816514,0.567171470444553,0.13842482100238665,0.0,0.9863013698630138,0.0,0.12903225806451613,0.6403940886699507,0.5172413793103448,0.5,0.6547619047619048
valid,0.46098003629764067,0.7341772151898734,0.5512820512820513,0.13903743315508024,0.0,0.9717223650385605,0.0,0.0,0.5,0.2222222222222222,0.56,0.6666666666666667
test,0.34554973821989526,0.7710843373493976,0.5185185185185186,0.23376623376623376,0.0,0.9863013698630138,0.0,0.0,0.5,0.5,0.33333333333333337,0.4
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1222.0,4.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,291.0,820.0,232.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,57.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,838.0,0.0,569.0,116.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0
STANDING,1142.0,3.0,571.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,5.0,0.0,0.0,0.0,0.0,1692.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,16.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
SIT_TO_STAND,12.0,2.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,16.0,0.0
LIE_TO_SIT,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,38.0
STAND_TO_LIE,5.0,3.0,15.0,0.0,0.0,4.0,0.0,0.0,44.0,0.0,49.0,0.0
LIE_TO_STAND,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,55.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,127.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,28.0,87.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,6.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,90.0,0.0,61.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,127.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
STAND_TO_LIE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
LIE_TO_STAND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,33.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,13.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,5.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,31.0,0.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,48.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
STAND_TO_LIE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
,index,real_category,predicted_category
0,0,4,0
1,1,4,0
2,2,4,0
3,3,4,0
4,4,4,0
5,5,4,0
6,6,4,0
7,7,4,0
8,8,4,2
9,9,4,0
10,10,4,0
11,11,4,2
12,12,4,0
13,13,4,2
14,14,4,2
15,15,4,0
16,16,4,2
17,17,4,2
18,18,4,0
19,19,6,0
20,20,3,0
21,21,3,0
22,22,3,0
23,23,3,0
24,24,3,0
25,25,3,0
26,27,3,2
27,29,3,0
28,30,3,2
29,31,3,2
30,32,3,2
31,33,3,2
32,34,3,2
33,35,3,2
34,36,3,0
35,37,3,0
36,38,3,2
37,39,4,2
38,40,4,0
39,41,4,0
40,42,4,0
41,43,4,0
42,44,4,0
43,45,4,2
44,46,4,2
45,47,4,0
46,48,4,0
47,49,4,0
48,50,4,2
49,51,4,0
50,52,4,0
51,53,4,0
52,54,4,2
53,55,10,8
54,56,10,0
55,73,3,2
56,74,3,2
57,75,3,2
58,76,3,0
59,77,3,0
60,78,3,2
61,79,3,2
62,80,3,0
63,81,3,0
64,82,3,0
65,83,3,2
66,84,3,0
67,85,3,0
68,86,3,0
69,87,3,2
70,88,3,2
71,89,3,2
72,90,3,0
73,91,3,2
74,92,3,2
75,94,8,5
76,113,11,9
77,116,0,2
78,122,0,2
79,128,0,2
80,133,0,2
81,135,0,2
82,136,0,2
83,139,0,2
84,140,0,2
85,141,0,2
86,142,0,2
87,149,2,0
88,153,1,0
89,154,1,0
90,155,1,2
91,159,1,2
92,160,1,0
93,161,1,0
94,172,1,0
95,188,1,2
96,189,1,2
97,194,1,0
98,195,1,0
99,196,4,0
100,197,4,0
101,198,4,0
102,199,4,0
103,200,4,2
104,201,4,2
105,202,4,2
106,203,4,2
107,204,4,0
108,205,4,0
109,206,4,0
110,207,4,0
111,208,4,0
112,209,4,0
113,210,4,0
114,211,4,2
115,212,4,0
116,213,6,2
117,214,6,2
118,217,3,2
119,218,3,0
120,219,3,0
121,220,3,0
122,222,3,0
123,223,3,2
124,225,3,0
125,228,7,11
126,229,4,0
127,230,4,0
128,231,4,2
129,232,4,2
130,233,4,2
131,234,4,2
132,235,4,0
133,236,4,0
134,237,4,2
135,238,4,0
136,239,4,0
137,240,4,0
138,241,4,0
139,242,4,2
140,243,4,2
141,244,4,0
142,245,4,0
143,246,4,0
144,247,4,0
145,249,10,8
146,250,10,2
147,274,9,11
148,275,3,0
149,277,3,0
150,278,3,0
151,279,3,0
152,280,3,2
153,281,3,2
154,282,3,2
155,283,3,2
156,284,3,2
157,285,3,0
158,286,3,0
159,287,3,2
160,288,3,2
161,289,3,0
162,290,3,0
163,292,8,5
164,314,0,2
165,315,0,2
166,322,0,2
167,323,0,2
168,324,0,2
169,325,0,2
170,326,0,2
171,327,0,2
172,328,0,2
173,329,0,2
174,330,0,2
175,333,0,2
176,334,0,2
177,335,0,2
178,336,0,2
179,337,0,2
180,357,2,0
181,365,1,0
182,366,1,0
183,367,1,0
184,371,1,2
185,372,1,2
186,375,2,0
187,381,2,0
188,382,2,0
189,383,1,0
190,389,1,0
191,390,1,0
