,SUBJECT_22
training duration,2787.0625240802765
,train,valid,test
logloss,0.9623789898324417,0.9897483969634434,1.1581124832381064
accuracy,0.7822529893014475,0.7754716981132076,0.7761194029850746
macro-precision,0.8387824439576628,0.7747373654443166,0.743062824406108
macro-recall,0.8464794463925833,0.789023587164751,0.8067912374363988
macro-f1,0.8091816986795268,0.7492993055878473,0.7004626868262886
weighted-f1,0.7334553858690508,0.7283526050565268,0.7140034261177857
micro-f1,0.7822529893014475,0.7754716981132076,0.7761194029850746
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.7459807073954984,0.9451240824886404,0.8259705488621151,0.8132530120481928,0.18051282051282053,0.9366878628697817,0.8461538461538461,0.8727272727272728,0.8938547486033519,0.918918918918919,0.8109965635738832,0.9199999999999999
valid,0.7466666666666666,0.9615384615384615,0.8277945619335347,0.8040540540540541,0.19004524886877827,0.9333333333333333,0.7692307692307692,1.0,0.8000000000000002,0.7000000000000001,0.6875000000000001,0.5714285714285715
test,0.676470588235294,0.7706422018348624,1.0,0.9401709401709402,0.030303030303030307,0.9859154929577464,0.0,missed_category,1.0,1.0,0.4444444444444445,0.8571428571428571
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,190.0,2.0,152.0,1080.0,52.0,58.0,6.0,0.0,0.0,0.0,25.0,0.0
STANDING,832.0,155.0,368.0,11.0,176.0,167.0,7.0,0.0,0.0,1.0,5.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1694.0,0.0,0.0,0.0,0.0,1.0,2.0
STAND_TO_SIT,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,5.0,0.0
SIT_TO_STAND,3.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,2.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,14.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,6.0
STAND_TO_LIE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,118.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,69.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,23.0,0.0,14.0,119.0,8.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0
STANDING,91.0,12.0,42.0,3.0,21.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0
