,SUBJECT_28
training duration,2657.1089084148407
,train,valid,test
logloss,0.33917699886273733,0.34924084773778463,0.8971056201789952
accuracy,0.9027426160337553,0.8937381404174574,0.830379746835443
macro-precision,0.8774855203185247,0.8058015271989363,0.6705304442373409
macro-recall,0.9138073716998129,0.8433141241182186,0.6214113638955411
macro-f1,0.8860043999722774,0.8133850582388659,0.6309473373282202
weighted-f1,0.9005639648763639,0.8926142955468979,0.8337375781611016
micro-f1,0.9027426160337553,0.8937381404174574,0.830379746835443
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.8274531422271224,0.9974006683995543,0.997557003257329,0.8939695162359178,0.7485632183908046,0.9946933962264151,0.7714285714285714,0.983050847457627,0.8432432432432434,0.9241379310344827,0.7344262295081968,0.9161290322580644
valid,0.8186274509803921,1.0,1.0,0.8835820895522388,0.7597402597402598,0.9946524064171123,0.8750000000000001,1.0,0.8000000000000002,0.5263157894736842,0.7027027027027025,0.39999999999999997
test,0.7659574468085107,1.0,1.0,0.7457627118644068,0.6493506493506493,0.9936305732484078,0.75,1.0,0.0,missed_category,missed_category,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,115.0,0.0,0.0,1349.0,33.0,12.0,4.0,0.0,0.0,0.0,41.0,0.0
STANDING,510.0,6.0,6.0,114.0,1042.0,1.0,23.0,0.0,0.0,0.0,7.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1687.0,0.0,0.0,2.0,0.0,1.0,1.0
STAND_TO_SIT,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,0.0,14.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,9.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,112.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,71.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,17.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
STANDING,57.0,0.0,0.0,14.0,117.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,1.0,0.0,1.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
WALKING_UPSTAIRS,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
WALKING_DOWNSTAIRS,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
SITTING,4.0,0.0,0.0,44.0,24.0,0.0,1.0,0.0,0.0,missed_category,missed_category,0.0
STANDING,29.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,missed_category,missed_category,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,missed_category,missed_category,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,missed_category,missed_category,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
LIE_TO_SIT,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
STAND_TO_LIE,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
LIE_TO_STAND,0,0,0,0,0,0,0,0,0,missed_category,missed_category,0
,index,real_category,predicted_category
0,0,4,0
1,1,4,0
2,2,4,0
3,3,4,0
4,4,4,0
5,6,4,0
6,16,4,0
7,17,4,0
8,23,6,10
9,24,3,10
10,46,4,0
11,55,4,0
12,56,4,0
13,57,4,0
14,58,4,0
15,59,4,0
16,60,4,0
17,61,4,0
18,62,4,0
19,63,4,0
20,64,4,10
21,65,4,0
22,66,4,0
23,67,4,0
24,86,3,0
25,87,3,0
26,90,3,4
27,97,3,4
28,98,3,4
29,99,3,4
30,100,3,4
31,101,3,4
32,102,3,4
33,103,3,4
34,104,3,4
35,106,3,4
36,107,3,0
37,108,3,0
38,109,8,10
39,110,8,10
40,135,11,9
41,216,4,0
42,217,4,0
43,219,4,0
44,220,4,0
45,222,4,0
46,223,4,0
47,226,4,0
48,248,4,0
49,288,3,6
50,289,3,4
51,290,3,4
52,291,3,4
53,292,3,4
54,293,3,4
55,294,3,4
56,295,3,4
57,296,3,4
58,297,3,4
59,298,3,4
60,299,3,4
