,SUBJECT_18
training duration,1778.808190822601
,train,valid,test
logloss,1.5967261806581865,1.5858054600323481,1.6833506695390044
accuracy,0.4735564235194764,0.4672364672364672,0.4640198511166253
macro-precision,0.568329349964135,0.6058313792688793,0.6012464032757857
macro-recall,0.37119328833088444,0.3793385030702054,0.470195085826928
macro-f1,0.375830132415536,0.3846331573442776,0.45578304053459573
weighted-f1,0.4179950233866316,0.40640907266052634,0.41212924710781773
micro-f1,0.4735564235194764,0.4672364672364672,0.4640198511166253
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.3830284157259634,0.4567830566685746,0.7805944055944056,0.01520912547528517,0.0,0.9584859584859585,0.0,0.0,0.6272189349112426,0.4545454545454545,0.43786982248520706,0.39622641509433965
valid,0.3767441860465116,0.3425414364640884,0.789272030651341,0.022727272727272724,0.0,0.9700272479564032,0.0,0.0,0.6666666666666665,0.6666666666666666,0.380952380952381,0.4
test,0.3583061889250815,0.49350649350649356,0.6019417475728155,0.03225806451612903,0.0,0.9929078014184397,0.0,0.0,0.6666666666666665,0.8,0.6666666666666665,0.8571428571428571
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1476.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,882.0,399.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,324.0,0.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1523.0,0.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1682.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,125.0,0.0,3.0,0.0,0.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,45.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
SIT_TO_STAND,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,21.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,53.0,0.0,7.0,0.0
LIE_TO_SIT,32.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.0
STAND_TO_LIE,44.0,1.0,13.0,0.0,0.0,3.0,0.0,0.0,23.0,0.0,37.0,0.0
LIE_TO_STAND,31.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,21.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,162.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,110.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,32.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
